weber_version,start_date,start_time,offset,trial,time,sid,condition,deviant,version,code,stimulus,stimtrak,value
0.5.3,2017-06-08,09:36:26,19,17,1020.8695757804817,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.9029100034822,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.9362873417267,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1020.9696215647273,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.0102884545049,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.043623361882,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.0770379981986,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.1103722212138,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.1460931795154,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.1801333286858,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.1968928299466,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.2346569705405,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.2679911935556,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.3014048033219,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.3347393685108,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.371885524306,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.4052204316977,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.4343584489834,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.4676930141723,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.501027921564,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.5363040403172,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.569638605506,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.5937365906575,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.6437379251729,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.6730354003375,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.7063692811644,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.7397035041795,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.7580445811473,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.7913788041478,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.8316186479497,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.8649528709648,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.8994238301239,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.9327577109507,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.9660919339658,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1021.9994268413575,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.0468891685741,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.0637930715893,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.0972665636073,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.1492142422649,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.1658810115914,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.199215234592,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.2373198485438,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.2539866178704,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.287320840871,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.3206547216978,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.3572030815849,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.3905376467737,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.426147395192,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.4594816182071,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.4928151568456,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.5306737403007,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.5640089898661,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.5837129867868,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.6170465254254,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.6519116808777,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.6852455617045,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.7411064596963,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.7577732290083,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.7973632648791,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.8140307185677,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.8473649415828,mary,study2,ripple,0.1.0,stream_2,,,
0.5.3,2017-06-08,09:36:26,19,17,1022.8913445172948,mary,study2,ripple,0.1.0,stream_2,,,
